Project Proponent,Agent,"Significantly Involved Person(s), Description of involvement",Project Name,Project ID,Method,Method URL,Method Type,Estimation or measurement approach or model,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Supplementary project information,Model start date(s),"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,KACCUs Units Issued in Financial Year 2025/26,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,NKACCUs Units Issued in Financial Year 2025/26,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Enforceable undertaking URLs related to this project,Enforceable undertakings related to this project,Notes,Project revoked
INPEX NEW ENERGY BUSINESS AUSTRALIA PTY LTD,n/a,n/a,Furnihurst Carbon Project 2026,ERF208508,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2024,https://www.legislation.gov.au/Details/F2024L01473,Vegetation,n/a,This project establishes permanent plantings consisting of mallee eucalypt species.,Establishing and maintaining a permanent mallee planting,n/a,16/03/2026,1/08/2026,31/07/2051,Western Australia,"6315, 6316","1/D031340/1651/299, 10/P233158/4075/883, 10043/P141395/2075/360, 12/P233158/4075/883, 12295/P146205/1339/215, 12299/P146202/1339/215, 12349/P146204/1902/796, 12357/P201779/2075/378, 2565/P113250/1276/605, 3173/P113432/4075/883, 3724/P113431/4075/883, 4267/P137103/4075/883, 4909/P113241/1276/604, 5/P233158/4075/883, 7649/P127984/4075/883
 
The project is in the Wagin, Woodanilling local government areas.",https://cer.gov.au/sites/default/files/projectFiles/ERF208508.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,Yes,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
SHOALHAVEN CITY COUNCIL,n/a,n/a,Shoalhaven FOGO,ERF208537,Carbon Credits (Carbon Farming Initiative-Source Separated Organic Waste) Methodology Determination 2016,https://www.legislation.gov.au/Details/F2016L00098,Waste,n/a,The project involves a new waste diversion activity where eligible waste is being separated at the point of generation from a single waste stream and being diverted from landfill and being transferred to a facility or unit for treatment using open windrow composting/enclosed composting/anaerobic digestion and the transfer of biogas to a combustion device for destruction/process engineered fuel manufacture as eligible waste treatment technologies.,New waste diversion,n/a,30/03/2026,30/03/2026,29/03/2033,New South Wales,2540,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
KALFRESH BIOENERGY PTY LTD,n/a,Mike Ritchie and Associates Pty Ltd - Involved in preparing or submitting other documentation to the Clean Energy Regulator,Kalfresh Stage One Bioenergy project,ERF208987,Carbon Credits (Carbon Farming Initiative-Source Separated Organic Waste) Methodology Determination 2016,https://www.legislation.gov.au/Details/F2016L00098,Waste,n/a,The project involves a new waste diversion activity where eligible waste is being separated at the point of generation from a single waste stream and being diverted from landfill and being transferred to a facility for treatment using anaerobic digestion and the transfer of biogas to a combustion device for destruction/ process engineered fuel manufacture as an eligible waste treatment technology.,New waste diversion,n/a,25/03/2026,30/03/2026,29/03/2033,Queensland,4309,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AUSTRALIAN WILDLIFE CONSERVANCY,n/a,n/a,Pungalina Seven Emu Carbon Abatement (Revoked),ERF103012,Carbon Credits (Carbon Farming Initiative-Emissions Abatement through Savanna Fire Management) Methodology Determination 2015,https://www.legislation.gov.au/Details/F2015L00344,Savanna Fire Management,n/a,This project involves strategic and planned burning of savanna areas in the low rainfall zone during the early dry season to reduce the risk of late dry season wild fires.,Reducing fire emissions in the low rainfall area,n/a,3/02/2016,3/02/2016,2/02/2041,Northern Territory,0862,"1352

The project is in the Roper Gulf local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF103012.kml,n/a,n/a,n/a,Yes,No,n/a,No,Yes,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,"12/05/2017 Variation to the project area - areas listed in the project have been removed

17/03/2026 This project has been revoked under section 30 of the CFI Rule.",Yes
Corporate Carbon Advisory Pty Ltd,n/a,n/a,Climate Solutions #2 Project (Revoked),ERF154513,Carbon Credits (Carbon Farming Initiative-Industrial Electricity and Fuel Efficiency) Methodology Determination 2015 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00783,Energy Efficiency,n/a,This project improves energy (electricity) efficiency by installing equipment that generates electricity at a location where existing energy-consuming equipment consumes electricity obtained from an electricity grid and the electricity generated by the installed equipment will be used in substitution for the electricity obtained from an electricity grid.,On-site renewable energy generation,n/a,10/03/2020,1/07/2020,30/06/2027,Nation Wide,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,10/03/2026 This project has been revoked under section 30 of the CFI Rule.,Yes
CORPORATE CARBON ASSET MANAGEMENT PTY LTD as trustee for CC Stage 1 Agricultural Trust,n/a,n/a,Pike Creek Biodiversity and Carbon Project (Revoked),ERF165938,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,n/a,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,20/08/2021,20/08/2021,19/08/2046,Queensland,4380,"2/RP50582, 4/RP50582

The project is in the SOUTHERN DOWNS REGIONAL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF165938.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,"21/11/2023 Variation to participant name - from Corporate Carbon Advisory Pty Ltd to Corporate Carbon Asset Management PTY LTD as Trustee for CC Stage 1 Agricultural Trust.

27/03/2026 This project has been revoked under section 30 of the CFI Rule.",Yes
ARGYLE FOODS PASTORAL PTY LTD,n/a,n/a,Argyle Beef Herd Management Project (Revoked),ERF169322,Carbon Credits (Carbon Farming Initiative-Beef Cattle Herd Management) Methodology Determination 2015 (Compilation No. 1),https://www.legislation.gov.au/Details/F2017C00466,Agriculture,n/a,This project reduces the emissions intensity of beef cattle production by adopting measures to reduce cattle emissions per kilogram of liveweight produced.,Changing the ratio of livestock classes within the herd to increase total annual liveweight gain of the herd; Increasing the ratio of weight to age of the herd; Reducing the average age of the herd; Reducing the proportion of unproductive animals in the herd,n/a,30/03/2022,30/03/2022,29/03/2029,New South Wales,2585,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,10/03/2026 This project has been revoked under section 30 of the CFI Rule.,Yes
LMS Energy Pty Ltd,n/a,n/a,Rockingham Landfill Gas Upgrade Project (Revoked),ERF170689,Carbon Credits (Carbon Farming Initiative-Electricity Generation from Landfill Gas) Methodology Determination 2021 (Compilation No. 1),https://www.legislation.gov.au/Details/F2022C00231,Waste,n/a,This project upgrades an existing landfill gas collection system to capture and combust gas generated at the landfill from legacy and non-legacy waste.,Upgraded from an existing landfill gas collection system,n/a,20/06/2022,19/12/2023,18/12/2035,Western Australia,6171,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,"18/06/2024 Variation of project method - from (Carbon Credits (Carbon Farming Initiative-Landfill Gas) Methodology Determination 2015 (Compilation No. 1) (F2021C00494) to the Carbon Credits (Carbon Farming Initiative—Electricity Generation from Landfill Gas) Methodology Determination 2021 (F2022C00231).

10/03/2026 This project has been revoked under section 30 of the CFI Rule.",Yes
Kirby Carbon Co Pty Ltd,Climate Friendly Pty Ltd,n/a,Winchester Carbon Soil Project (Revoked),ERF178225,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, and applying lime or other ameliorants to remediate acid soils.",Applying lime or other ameliorants to remediate acid soils; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency,n/a,15/05/2023,15/05/2023,14/05/2048,New South Wales,2866,"1/DP1004021, 1/DP1004022, 1/DP1004127, 1/DP1004145, 1/DP1101890, 1/DP304996, 131/DP1269838, 132/DP1269838, 14/DP1107913, 150/DP756868, 156/DP756868, 157/DP756868, 2/DP1004127, 2/DP1004145, 2/DP1101890, 3/DP1004127, 3/DP1004145, 3/DP1101890, 33/DP756876, 4/DP1004127, 4/DP1101890, 5/DP1004127, 5/DP1101890, 59/DP756876, 6/DP1004127, 6/DP1101890, 61/DP756876, 62/DP756876, 63/DP756876, 7/DP1004127, 7/DP1101890, 73/DP756876, 75/DP756876, 8/DP1101890, 80/DP756876, 81/DP756876, 82/DP1271197, 82/DP756876, 91/DP756876, A/DP346577, B/DP346577, C/DP346577, D/DP346577, E/DP346577, F/DP346577
 
The project is in the Cabonne local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF178225.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,17/03/2026 This project has been revoked under section 30 of the CFI Rule.,Yes
LMS Energy Pty Ltd,n/a,n/a,Wyong Landfill Gas Upgrade Project (Revoked),ERF183958,Carbon Credits (Carbon Farming Initiative-Electricity Generation from Landfill Gas) Methodology Determination 2021 (Compilation No. 1),https://www.legislation.gov.au/Details/F2022C00231,Waste,n/a,This project upgrades an existing landfill gas collection system to capture and combust gas generated at the landfill from legacy and non-legacy waste.,Upgraded from an existing landfill gas collection system,n/a,23/06/2023,22/01/2024,21/01/2036,New South Wales,2259,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,10/03/2026 This project has been revoked under section 30 of the CFI Rule.,Yes
Terra Carbon Pty Limited,n/a,n/a,Yarran Downs Warroo Human Induced Regeneration Project,ERF187737,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,n/a,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth; Management of the timing, and the extent, of grazing","Livestock; Mechanical or chemical destruction, or suppression, of regrowth",26/09/2023,26/09/2023,25/09/2048,Queensland,4455,"2/SP327037, 8/CPCOG13

The project is in the Balonne local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF187737.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,07/02/2025 Variation to the project area – areas listed in the project have been removed,No
Mitsui & Co. Wood Resources Oceania Pty Ltd,n/a,n/a,Western Treefarm Project 2B (WTP2B),ERF200500,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,"This project sequesters carbon by:
- establishing and maintaining a new plantation forest for commercial harvesting of wood products, and
- converting an existing short rotation plantation forest to a long rotation plantation forest for commercial harvesting of wood products.",Conversion from a short-rotation to long-rotation plantation forest; Establishment of a new plantation forest,n/a,28/04/2025,30/05/2025,29/05/2050,Western Australia,6395,"351/D144895/1161/639, 71/D429408/4064/790
 
The project is in the Kojonup local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF200500.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,19/12/2025 Variation to the project area – areas listed in the project have been removed,No
SILVA CAPITAL OPERATING COMPANY PTY LTD,Covalent Land Australia Pty Ltd,n/a,Cooplacurripa Environmental Planting Project (Phase 1),ERF201057,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2024,https://www.legislation.gov.au/Details/F2024L01473,Vegetation,n/a,This project establishes permanent plantings of a mix of native tree and shrub species that are local to the area of the planting. The species mix reflects the structure and composition of the local native vegetation community.,Establishing and maintaining a permanent mixed-species environmental planting,n/a,17/04/2025,17/04/2025,16/04/2050,New South Wales,"2354, 2424","1/DP1193084, 1/DP249103, 1/DP249108, 10/DP753698, 105/DP754433, 11/DP753698, 121/DP754433, 131/DP753690, 132/DP753703, 133/DP753703, 138/DP754433, 139/DP753703, 143/DP753703, 144/DP753703, 147/DP753703, 151/DP753690, 152/DP753690, 153/DP753690, 16/DP1193087, 17/DP1193088, 18/DP753698, 2/DP249103, 2/DP249108, 2/DP753698, 2/DP754433, 20/DP1193088, 20/DP754433, 21/DP754433, 26/DP1193089, 27/DP1193089, 27/DP753704, 3/DP1193084, 3/DP249108, 3/DP626396, 3/DP754433, 36/DP753710, 37/DP753710, 37/DP754433, 38/DP754433, 4/DP249108, 40/DP754433, 41/DP753704, 42/DP753698, 45/DP753690, 47/DP754433, 48/DP754433, 49/DP754433, 5/DP249108, 5/DP753698, 6/DP249108, 6/DP753698, 61/DP753703, 62/DP753703, 63/DP753703, 64/DP753710, 65/DP753710, 7/DP753698, 7/DP753704, 71/DP753690, 71/DP754433, 72/DP753690, 72/DP754433, 73/DP754433, 74/DP754433, 8/DP753698, 8/DP753704, 84/DP753703, 86/DP754433, 97/DP753710, 98/DP753710
 
The project is in the Mid-Coast, Walcha local government areas.",https://cer.gov.au/sites/default/files/projectFiles/ERF201057.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,"26/08/2025 Variation to the project area – areas listed in the project have been amended

08/09/2025 This project overlaps with the following Nature Repair Market project – NR001014.",No
MANUKA (COBAR) PTY. LTD.,Select Carbon Pty Ltd,n/a,Wirchilleba Soil Carbon Project,ERF201698,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both, re-establishing or rejuvenating a pasture by seeding or pasture cropping, retaining stubble after a crop is harvested and using legume species in cropping or pasture systems.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both; Re-establishing or rejuvenating a pasture by seeding or pasture cropping; Retaining stubble after a crop is harvested; Using legume species in cropping or pasture systems",n/a,26/03/2025,26/03/2025,25/03/2050,New South Wales,2877,"1/DP750656, 1341/DP762954, 5/DP750710

The project is in the Cobar local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF201698.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AUSTRALIAN CARBON PRODUCTS PTY LTD,n/a,n/a,ACP CBA 2025_3,ERF204297,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,This project sequesters carbon by avoiding conversion of an existing or harvested plantation to non-forested land by establishing and maintaining a new plantation forest for commercial harvesting of wood products.,Avoided conversion of a plantation to non-forested land by continuing plantation,n/a,26/06/2025,26/06/2025,25/06/2050,Victoria,3717,"Allot 44F/TPTP611353V/7088/517, Lot 1/PS079811E/10285/112, Lot 2/PS88565/8892/366, Lot 7/PS209019F/9782/135, Lot 8/PS209019F/9782/136

The project is in the Murrindindi local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF204297.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
